"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","chi2","uncertainty [nm]"
1.0,1.0,206.45340452879586,25059.270006685532,127.71205457635459,25953.588478911886,962.4011875577577,114.93318932067423,138.9306545852318,5.67086806439641
2.0,1.0,276.32854020703485,40657.35998519464,267.33107753647363,235425.28964043397,3.307113175047439E-8,170.80633706063418,237.18829836768305,4.067714642058143
3.0,1.0,203.95904295378517,74899.55283147987,157.9396460101859,57881.031281951844,1713.479902631104,173.62624323525796,163.6296298865712,5.853408039911752
4.0,1.0,288.95811324833494,96767.23428514418,259.09854496881917,218162.70676392948,1.6392894165801594E-7,237.44723256232302,388.4695375421768,5.706231023715875
5.0,1.0,289.86470822368614,38759.573032824876,159.02838380680691,50103.134463714545,1770.5909665291463,313.699839575229,556.3270567589207,12.327960295618418
6.0,1.0,317.91543050504316,45274.33222189892,123.62119153640326,49554.918197231586,1413.983444524982,178.1584619166004,222.6691396295214,4.307141305213861
7.0,1.0,312.2981749579014,27560.67180166426,128.3496302068425,25437.519811634607,1215.8384910062498,122.85565715454463,126.63119213331275,6.2372399292706655
8.0,1.0,373.8421090618673,79225.31598824082,257.6328932600296,202832.31991832063,6.98986577230671E-7,155.23762776152037,217.02357888871202,3.989852272808086
9.0,1.0,455.1372547426019,16803.13698016935,127.80168705261363,34107.789395939486,1533.2193268853619,212.3047942687144,294.3713046766103,7.932930483634528
10.0,1.0,565.2402347270354,12362.226934585038,138.11992900050637,29345.970683854,1161.1853760115332,158.0268958646523,211.03660155666924,8.025982470258139
11.0,1.0,544.2889451497292,29308.473446080534,130.28073071804465,23604.554095045212,1546.7263052693374,170.3643348918657,202.7246054038888,9.559911812601152
12.0,1.0,540.727778028362,72563.63728471099,197.65565449629463,109171.49991280667,1204.4771961679912,159.6284257634944,140.23992323467144,4.480438751165537
13.0,1.0,578.282717507586,125410.24400672573,157.57877011752527,49681.849290075705,1060.965655076366,206.21154394358777,294.8529022123193,8.042276230536098
14.0,1.0,674.7968287869189,39396.060942424796,201.1918450130338,126454.3946843561,1213.8184672314467,210.6385838041547,247.90126705106854,5.271359426051285
15.0,1.0,606.3152723561276,96566.45626878784,162.51662100235808,102169.57249827433,1362.053864861247,275.2501659785742,408.0208175793845,5.554094460482082
16.0,1.0,662.6849645966961,5073.848414123332,132.8659271984298,30933.209575950983,758.184002709066,141.78213032560905,221.8853468714673,6.335128616199341
17.0,1.0,707.34152698771,12847.832380486436,173.00414737110285,56799.145899269744,1039.722281049545,151.16011052815188,167.53672919570113,6.234013157489643
18.0,1.0,636.4138553738765,20046.827569400644,159.2242046819519,143381.8293562737,1830.7115928845956,295.75433421004954,312.8018305341161,4.08656628086467
