,x [nm],y [nm],n_match,C1_id,C2_id,C3_id,C4_id,C1_posX,C1_posY,C2_posX,C2_posY,C3_posX,C3_posY,C4_posX,C4_posY,C1_sigma,C2_sigma,C3_sigma,C4_sigma,C1_int,C2_int,C3_int,C4_int
0,63871.84957166103,51184.35505079383,3,1249,4663,,3248,63919.0246305812,51209.35499953551,63879.26075281549,51173.84953921494,,,63817.26333158637,51169.86061363103,147.56096763061444,252.26072822392237,,113.9307462799354,46202.734882973054,159182.3191489953,,4816.456463601103
1,69138.3753008918,81358.62984718116,3,1350,5065,,3604,69132.49278344557,81387.8450264923,69142.65753753258,81335.8013489348,,,69139.97558169726,81352.24316611639,4.6595075861022615,0.509155531340951,,1.4013041794417809,6848.1934555139205,6592.001617462367,,6651.135904919375
2,43684.35352483639,52647.908944386356,3,863,,4117,1906,43702.90719300771,52668.985733166046,,,43659.42476232243,52619.57637607347,43690.72861917904,52655.16472391955,19.63308478283814,,98.12798256368085,14.023274380762745,923.0218380018856,,56485.08004631799,910.1497874548586
3,94467.99886051468,1667.7385655751157,3,1759,6854,,5460,94446.62166105668,1657.6460143183565,94524.6266380472,1727.01342794855,,,94432.7482824402,1618.55625445844,31.68260794549054,143.85274536939767,,2.9692353399460725,1148.1424346264987,71974.847927179,,510.2611978854327
4,35480.92397892636,107458.41954263725,3,702,2475,3264,,35492.74325125267,107519.1964644174,35529.57816394849,107460.12882331284,35420.45052157793,107395.93334018148,,,109.25223685586204,151.79228135868198,131.4186251087466,,6168.78835171962,55306.56516076354,27882.169086946164,
5,95941.21042118194,49944.04174668363,3,,6956,9462,5549,,,95921.46677083644,49941.79680548403,96031.37561243304,49881.5296687964,95870.78888027638,50008.79876577046,,95.93590606003391,107.31440805984089,110.93935091159408,,21231.78122627708,59063.63192098152,10704.897694721223
6,112486.78702493438,23689.43949428909,3,1958,7813,10811,,112557.14989832768,23721.63061478573,112503.985137969,23654.84592427004,112399.22603850646,23691.84194381149,,,240.3018699873749,120.0490321481924,157.8657073291576,,128105.94265149024,37149.12725098288,31339.545896434905,
7,129066.76289380626,105152.08406057711,3,2101,8512,,7799,129138.45769894031,105068.15235237103,129056.3699026334,105193.55651107233,,,129005.46107984504,105194.54331828798,109.94681856423485,5.896012508546678,,3.725515256175153,2349.1017663952,1000.0781901914776,,801.3554284559622
8,92199.69402936811,7689.584354578116,3,1726,6692,,5301,92223.731854971,7683.789020463945,92171.2875786067,7676.500311052454,,,92204.0626545266,7708.463732217949,6.570198196274934,0.5270871442224309,,0.1213678520768781,1190.158270392257,1042.4436703650845,,826.1914887762839
9,25319.345896918134,88933.60142320981,3,483,1732,2252,,25289.18341223558,88940.0344872551,25327.59633444141,88911.26928010737,25341.25794407741,88949.50050226689,,,3.949854083497108,1.2142282713181285,111.16171673832406,,1133.605027130168,806.8214159379328,31880.33410708069,
10,15184.644422580774,71369.18853209396,3,283,1000,,472,15212.09487318181,71396.34903337213,15182.838209960377,71373.11057237226,,,15159.000184600134,71338.10599053752,3.3520057785897617,16.69586006387273,,0.8185215273671964,996.1947917002566,1124.2360360771029,,894.2848008068106
11,44995.82083825478,63123.34555168662,3,,3215,4275,1995,,,44956.33266600071,63102.90311197334,44987.849301563125,63200.770358939175,45043.28054720051,63066.36318414735,,279.6552655647346,142.14894334293652,53.795875629351045,,199305.0359865297,177885.84266605237,727.7618842616956
12,62657.896701918355,19512.05302053565,3,1224,4567,,3155,62576.952526773166,19545.032348147117,62699.26028551728,19484.81328367728,,,62697.47729346463,19506.31342978256,72.26798273461144,3.487075938701184,,2.105783873037608,1894.94957609941,1121.522833274519,,718.9421776128993
13,59385.54434350381,54500.49406386717,3,1156,,5848,2922,59291.41562425847,54530.484435331375,,,59417.2043899962,54467.72818748996,59448.01301625676,54503.269568780175,105.8343483320296,,101.39336348215576,140.54162188502025,4982.148775147754,,34696.53019650093,8471.716003723111
14,5208.49101504196,103721.3760615604,3,86,312,,134,5216.79985621848,103725.00891885094,5220.138814692748,103722.6945035586,,,5188.534374214651,103716.42476227164,6.160669782220509,5.759058634130732,,0.3134481653162688,1089.762669593754,1298.5928765213334,,685.4070820907482
15,24455.557248134497,99306.80453148176,3,,1680,2158,859,,,24517.74314279354,99306.69827887804,24463.967994471463,99374.64452676987,24384.960607138484,99239.07078879735,,96.38965860626752,106.40377013879434,138.25294182336694,,17924.415899949963,28365.14892719992,5865.404971724002
16,108634.10965023603,31793.42771473588,3,,7650,10516,6467,,,108677.97672596054,31703.67539187031,108589.67615779817,31820.09629704139,108634.6760669494,31856.51145529594,,126.07033713226404,128.85042436093613,121.09410868282824,,18295.32609165675,41405.82054297392,6095.05925233105
17,113319.07238768101,32394.242472865255,3,1964,7861,,6795,113397.39989561411,32365.78513408383,113290.77342693444,32367.9197475409,,,113269.04384049449,32449.02253697104,117.91166541977888,99.21056716445035,,146.77458210997435,9788.22427362856,17788.17430642686,,10339.808344183848
18,34475.155381944845,41831.79991833942,3,680,2386,,1357,34496.9122627395,41871.32497466109,34449.55402271631,41801.049846970775,,,34478.99986037874,41823.024933386405,485.123680513901,5.51068303675816,,14.148716322659885,155835.4917774913,1289.4179738620944,,1027.206542753912
19,15626.078584749639,85751.32178209326,3,297,1045,,485,15616.906950862814,85729.4059965182,15644.110332437423,85747.09074712562,,,15617.218470948685,85777.46860263596,4.7359606899295965,20.96127517714095,,5.066654642003429,743.1866182558958,1052.1308412053438,,960.0583448102376
20,73416.27235982382,45570.96610154557,3,1420,5383,7318,,73408.05903776867,45548.73100907905,73444.69527183149,45590.55575406347,73396.06276987132,45573.6115414942,,,423.91809615031,245.12584028278508,128.12781916909512,,1253122.7522984715,178720.64131064093,36181.29885974962,
21,73434.31614556555,94694.86353580207,3,1423,,7312,3910,73402.4921493087,94639.40898514414,,,73374.27050386311,94718.12516645428,73526.18578352482,94727.05645580783,134.03262889527778,,165.26015028991003,116.3552472223473,9800.5799144748,,123230.6205817498,6669.184893700268
22,27914.675677340143,28691.28940854661,3,531,,2509,1020,27890.431504761684,28595.12831125714,,,27943.44391774002,28712.42058791877,27910.15160951872,28766.31932646393,177.6185679066132,,117.22844939573412,110.82674156051232,17450.54926921317,,11737.57475995704,2615.546513841169
23,86775.41175278045,112140.31666201663,3,1657,6346,8663,,86836.75432343066,112121.66347807123,86736.02521820893,112110.1653476534,86753.45571670173,112189.12116032527,,,101.5881757350222,194.00143242224976,155.32849447813263,,3788.6994510402583,22622.08020988044,79600.48018481351,
