id,frame,x [nm],y [nm],sigma [nm],intensity [photon],offset [photon],bkgstd [photon]
1,1,50.19256522,2600.614855,135.4849675,730.0236441,1,5.477225575
2,1,503.0346886,8551.520684,135.5596883,720.4446668,1,5.477225575
3,1,952.6205068,15096.00952,141.9805873,763.1817459,1,5.477225575
4,1,1235.280823,3903.352796,115.2484004,817.776745,1,5.477225575
5,1,1893.734113,841.5440662,99.61865702,843.5037605,1,5.477225575
6,1,3161.826362,3201.954582,111.1299203,831.4455939,1,5.477225575
7,1,3204.980649,15293.9738,125.3668255,835.0726065,1,5.477225575
8,1,3512.389613,11975.59614,127.858742,723.6787293,1,5.477225575
9,1,3603.608001,11268.03506,135.2358166,891.396768,1,5.477225575
10,1,4281.541067,4766.98733,111.0510822,878.9174606,1,5.477225575
11,1,5860.199982,15071.39087,120.5677769,734.49915,1,5.477225575
12,1,7245.168902,7555.986119,122.4928733,801.5284131,1,5.477225575
13,1,7744.909076,10433.52995,127.5471498,700.2282176,1,5.477225575
14,1,8042.668407,3456.11991,112.7903229,854.3063286,1,5.477225575
15,1,9073.625754,2719.661877,132.8820569,803.5168556,1,5.477225575
16,1,10670.89134,8433.652933,131.9775197,860.4910268,1,5.477225575
17,1,11662.33527,5716.631599,101.1196676,822.4491014,1,5.477225575
18,1,12313.11825,4141.158236,99.66333421,737.2625581,1,5.477225575
19,1,12453.76776,7957.354457,128.904935,810.6291266,1,5.477225575
20,1,12503.11892,12940.71082,137.5412149,708.318706,1,5.477225575
21,1,12541.17835,8649.304599,141.9093144,720.0639054,1,5.477225575
22,1,12895.49787,15803.89016,122.4251272,799.242171,1,5.477225575
23,1,14708.37752,2213.637089,93.38842672,738.3642081,1,5.477225575
24,1,14972.50883,15696.68832,93.5529005,761.1925227,1,5.477225575
25,1,15264.31067,1239.114501,123.4531842,853.6179963,1,5.477225575
26,1,16110.15884,12319.43038,110.2755075,804.6800113,1,5.477225575
27,1,16345.52008,12344.83321,94.6581485,765.2720241,1,5.477225575
28,1,16462.42623,302.5598647,147.7498044,782.5585707,1,5.477225575
29,2,49.40344692,4223.712557,95.5168739,787.9411527,1,5.477225575
30,2,227.1407633,7056.367508,128.82263,817.261086,1,5.477225575
31,2,1673.553803,4607.136807,92.19611204,897.3199325,1,5.477225575
32,2,1963.656888,3907.58277,119.1277009,735.7877296,1,5.477225575
33,2,2108.593967,2501.216423,126.4404158,720.7569799,1,5.477225575
34,2,2683.955633,2057.102226,114.3651301,774.5660646,1,5.477225575
35,2,2644.598324,14179.24329,94.94662179,764.8094885,1,5.477225575
