"","X","x..nm.","y..nm.","n_match","C1_id","C2_id","C3_id","C4_id","C1_posX","C2_posX","C3_posX","C4_posX","C1_posY","C2_posY","C3_posY","C4_posY","C1_sigma","C2_sigma","C3_sigma","C4_sigma","C1_int","C2_int","C3_int","C4_int","C1_int_sig","C2_int_sig","C3_int_sig","C4_int_sig","cluster"
"1",0,10112.8890028371,78655.1143088127,4,15,209,583,455,10124.2981218459,10124.0335209054,10090.33536576,10065.5806097107,78603.1330586254,78623.7110146845,78738.4988531283,78593.2216827305,0,0,112.669503799866,0,0,0,32205.863035168,0,368.623351618467,531.157315762022,2.53700999547254,341.823166552171,"3"
"2",1,10172.7899259793,37210.5924677346,4,16,211,587,460,10128.5875956996,10150.7283109525,10239.0538712858,10165.6048132842,37212.4228496679,37192.7413034088,37226.6132501271,37185.1589403728,0,0,112.832323118527,0,0,0,71866.9484454658,0,460.116366850228,2.6189367693056,5.64497658247239,347.954153698039,"3"
"4",3,53313.3759852009,94049.8955065632,4,88,1008,3156,2709,53339.4637363992,53282.4170162308,53318.2472029726,53310.2614215698,94001.9151207189,94008.2491190944,94139.5222798764,93984.291674011,0,0,117.975435331792,0,0,0,40173.7575863359,0,341.876567806901,77.7517323107719,2.88641835443642,106.836440446954,"3"
"5",4,29591.0168605987,28858.8896010901,3,54,585,NA,1451,29604.7043851967,29577.3293360006,NA,29624.0442072256,28848.3680387898,28869.4111633905,NA,29001.9150998539,0,0,NA,183.81828551874,0,0,NA,24204.8293899866,1996.76434295305,2.97957254376337,NA,0.716348908705211,"2"
"6",5,68846.1281498527,49046.3890469833,3,NA,1321,4001,3544,NA,68786.9569137949,68905.2993859106,68934.2627772449,NA,49011.2825561352,49081.4955378314,49074.4301438149,NA,98.6304355093176,101.900260301104,142.970951184539,NA,12791.7287619763,67139.6900357344,18760.574895122,NA,1.31494425024533,6.46589644869135,0.917805233064339,"1"
"7",6,51715.9778349181,50931.7305481297,3,NA,982,3040,2611,NA,51713.1428381018,51718.8128317343,51737.7127710041,NA,50916.7812235761,50946.6798726833,51061.1084634331,NA,95.2508816872134,109.250224045091,135.933812747523,NA,145621.602522942,1027125.92980152,696093.758330116,NA,16.0504715895382,86.0555769403576,37.6714852137052,"1"
"8",7,32592.0170138867,128115.980990411,3,59,NA,1935,1605,32582.6271312701,NA,32601.4068965032,32607.304767478,128080.720279817,NA,128151.241701005,128060.708380274,0,NA,103.198859845999,0,0,NA,15455.3223055365,0,2.80065821957049,NA,1.45120333552274,1.35503702101034,"3"
"9",8,34407.6226921394,41771.7452282963,3,61,NA,2024,1706,34447.2484030283,NA,34367.9969812506,34475.2149817678,41802.5796348853,NA,41740.9108217073,41804.1701000384,0,NA,124.820832590314,0,0,NA,193891.943204978,0,42.4216937557164,NA,12.4447338495412,86.9773883192251,"3"
"10",9,7001.84610219998,84937.7905169474,3,NA,145,399,309,NA,6980.47215338166,7023.2200510183,6967.21606918077,NA,85004.1669968275,84871.4140370673,84899.1800376078,NA,91.0909872446932,109.247361001557,135.4751337266,NA,37867.5698508166,14456.6568377602,7759.82709748708,NA,4.56369505451284,1.2112839492299,0.422797945015803,"1"
"11",10,101256.212958163,60696.9267536918,3,NA,1864,5686,5197,NA,101245.922792362,101266.503123965,101237.563360758,NA,60677.287255724,60716.5662516595,60748.5038874869,NA,120.62630037163,156.01772088351,122.715860280066,NA,11019.2376485715,66436.2904837122,20885.5036108634,NA,0.757299261263909,2.72933922338341,1.38689492600925,"1"
