id,frame,x [nm],y [nm],sigma [nm],intensity [photon],log10(intensity),offset [photon],bkgstd [photon],chi2,uncertainty [nm]
1,1,241.6366313,1232.551727,104.673,38988.97179,4.591,728.527958,160.4914576,274.137291,3.546551574
2,1,270.1334063,25360.61495,104.097,60548.92167,4.782,1340.05402,337.3387409,598.9344751,4.712039799
3,1,245.2236688,37404.16558,87.873,13597.74283,4.133,773.0331559,102.0121751,142.6664683,4.567955955
4,1,167.8418436,48869.84919,146.529,72660.32324,4.861,1133.636336,276.633576,466.970538,6.377147111
5,1,183.8189545,52018.21087,125.668,39233.35752,4.594,1235.521644,206.7136337,301.6432131,6.499067939
6,1,220.3949544,58850.75234,103.665,24136.88255,4.383,1062.143348,131.1822072,178.0755676,4.589950622
7,1,232.7297023,61877.25353,121.996,19779.58015,4.296,1312.368659,188.5603906,305.4962207,11.06263675
8,1,330.4745495,78022.60577,219.198,137026.1558,5.137,875.5480034,160.2132584,178.7734159,4.406698343
9,1,199.6245683,81470.74052,97.237,12153.36611,4.085,886.1330253,120.8545528,185.3753562,7.362888741
10,1,239.7709723,83772.04557,121.851,38012.82876,4.580,1164.056801,178.1960261,263.3141181,5.446709662
11,1,160.5821802,99065.53197,133.536,31242.5154,4.495,1308.536507,200.1246245,296.2123645,8.910612807
12,1,248.6245176,114696.144,118.559,28537.96532,4.455,1553.743482,180.9683162,219.770787,6.964320881
13,1,263.1619916,4514.476054,111.286,67292.38726,4.828,636.3751589,126.6609662,128.8724563,1.863302164
14,1,278.7769805,8179.082523,111.012,58520.90845,4.767,806.4963593,158.1081277,206.7405693,2.62937806
15,1,336.8611797,18242.92977,130.606,37309.21754,4.572,912.6543845,162.3272649,267.9653285,5.808790838
16,1,285.5030054,18911.54275,78.383,12580.66629,4.100,1843.101195,393.5687704,998.5761679,14.95639574
17,1,317.0181885,27089.47981,110.976,54896.06346,4.740,852.7781156,170.9715241,208.9699229,3.019724965
18,1,266.2857724,32410.85551,117.048,92087.26461,4.964,1061.756271,245.2284422,316.2116753,2.862460713
19,1,282.5942565,42783.21046,110.911,26544.81124,4.424,1293.504893,121.3908318,118.7749869,4.426527545
20,1,365.133668,47163.87168,171.330,134547.5843,5.129,669.4456199,175.834644,177.1611396,3.018425216
21,1,236.3022158,49325.4425,176.000,65749.73283,4.818,832.1740361,203.8570517,302.267717,7.496594757
22,1,299.3092594,55774.22374,138.175,80357.17973,4.905,1571.855443,312.4227488,476.6506087,5.790438089
23,1,256.406245,60643.00038,199.350,216742.1208,5.336,8.00E-07,221.0208396,286.0897608,3.179008873
24,1,252.9325526,76982.77272,145.044,34037.87384,4.532,1165.504043,157.7352164,205.5861391,7.618813285
25,1,320.6059521,82462.28166,116.507,29491.86243,4.470,1470.557429,163.2797445,191.7074618,5.881370568
26,1,302.6227786,125191.3842,123.857,53774.30345,4.731,1421.657231,184.1463733,201.1283165,4.118653919
27,1,385.6190691,224.8783596,98.160,19370.08797,4.287,556.7751524,138.5091172,329.1230159,5.403071132
28,1,448.9206321,17696.21735,148.989,54235.69729,4.734,822.5887954,187.3621942,263.6675891,5.995035135
29,1,411.0730636,21104.77713,131.570,46386.67613,4.666,1021.300553,181.0561542,311.0552543,5.287777262
30,1,398.1679077,29135.11403,116.388,27517.77043,4.440,1008.838296,142.5031274,172.1550382,5.49848647
31,1,344.4267124,30341.46868,104.802,39476.2897,4.596,991.9496462,201.3143048,347.6020401,4.386326213
32,1,373.3210277,36661.58278,161.544,114822.892,5.060,885.3063087,240.9675262,311.1439902,4.283641221
33,1,271.268878,53270.46892,275.330,262483.7309,5.419,19.99005932,157.0886796,195.8731531,3.567133816
34,1,340.4305728,55293.57232,165.126,95855.41712,4.982,1025.495352,254.6797345,352.5011655,5.656330287
35,1,398.772605,16909.23145,120.641,106105.5515,5.026,805.3498583,223.0527324,296.4241623,2.407397114
36,1,429.4473819,19039.06588,241.797,236263.8466,5.373,4.19E-08,313.3618058,599.9403988,6.047741774
37,1,386.1675927,19815.81446,179.776,88509.56131,4.947,540.9774428,218.1565233,396.1212281,6.221283996
38,1,428.767996,28290.54236,122.259,64453.86477,4.809,1057.398863,180.1063065,198.1958093,3.28273193
39,1,373.4417005,43306.57489,188.850,147892.1466,5.170,747.7144499,334.7960177,628.4360038,6.294628447
40,1,375.2843646,43927.22081,148.671,96841.86854,4.986,961.9865293,259.5655945,335.7785193,4.629761794
41,1,415.6570061,51157.93115,164.368,54010.54503,4.732,1050.435067,191.8174319,281.9357136,7.491567398
42,1,377.641843,70571.77523,138.608,81028.77862,4.909,1062.310595,239.6530326,317.5820044,4.443767241
43,1,463.7933578,2064.164856,115.830,64370.49083,4.809,677.3930601,175.4671598,226.096063,2.879950612
44,1,423.156687,25184.7966,242.433,287311.2294,5.458,2.16E-08,387.3160931,684.7632505,6.174946057
45,1,488.9590376,33219.61092,123.168,74670.2915,4.873,1066.740128,295.4227246,510.6167955,4.687202806
46,1,488.7059482,33897.34933,122.427,33472.96771,4.525,843.0700067,162.9110903,264.1932885,5.710139794
47,1,442.6295682,65642.78161,158.781,85639.00195,4.933,2078.60492,293.2754306,373.161797,6.732818176
48,1,450.657274,66027.6358,163.700,227071.1344,5.356,1494.500341,351.8786317,372.4391343,3.246128414
49,1,529.7413576,78692.10341,124.824,33790.34043,4.529,1505.526537,169.9993828,162.2194124,6.131281137
50,1,523.7774103,94751.65127,152.769,37267.78977,4.571,930.7381198,140.6695925,184.0693016,6.893243644
51,1,494.583884,26195.2248,160.617,66024.34188,4.820,516.2874803,170.608116,273.5821786,5.219402033
52,1,555.1651987,47415.01533,161.259,49399.42202,4.694,1255.64905,292.4784402,596.2693816,11.98916967
53,1,577.6492307,54228.79511,112.000,70731.79869,4.850,1353.838002,172.0745006,150.2958155,2.410029823
54,1,566.2447489,56934.18807,123.740,63756.23363,4.805,1382.265551,149.4072529,124.4528678,2.832575483
55,1,523.5694804,58053.75399,108.846,19321.55362,4.286,828.3992189,144.4914533,244.2556721,6.931941464
