Distance_(pixels),Gray_Value
0,7033.074
1,9418.148
2,8779.889
3,9667.037
4,11313.667
5,10126.037
6,12816.593
7,11615.814
8,13613.593
9,14044.370
10,17152.445
11,16904.148
12,18087.000
13,17188.186
14,16008.148
15,13422.333
16,11900.000
17,12178.741
18,15695.111
19,17280.963
20,19172.777
21,19446.740
22,20917.223
23,21387.666
24,22517.000
25,21623.740
26,20718.592
27,18077.926
28,17701.482
29,18125.148
30,22120.629
31,23040.111
32,21560.666
33,18542.666
34,19801.889
35,21932.926
36,22166.111
37,22623.703
38,21623.111
39,20954.852
40,22267.074
41,22474.074
42,23196.852
43,23474.482
44,25587.555
45,27898.852
46,29237.260
47,30159.334
48,30174.408
49,30275.297
50,30512.852
51,31440.518
52,29836.889
53,29299.814
54,30301.482
55,31101.703
56,32481.260
57,29491.926
58,28058.297
59,23973.740
60,21769.889
61,20107.260
62,18953.111
63,16434.371
64,16321.148
65,15243.852
66,18419.111
67,18423.629
68,21929.852
69,24016.666
70,26463.963
71,28049.926
72,28152.889
73,28459.037
74,26461.852
75,23117.148
76,17971.148
77,16213.741
78,16776.777
79,15681.481
80,17688.629
81,20498.740
82,22655.297
83,26457.297
84,31345.555
85,33324.742
86,32721.629
87,26511.592
88,22689.297
89,20228.703
90,19223.223
91,17725.963
92,16808.926
93,15469.741
94,14908.481
95,14850.556
96,13683.296
97,16705.518
98,21678.889
99,25925.223
100,28508.740
101,27360.592
102,25178.074
103,19212.037
104,15046.741
105,11569.037
106,10425.777
107,14571.037
108,15302.741
109,19968.371
110,25352.334
111,29133.371
112,32607.518
113,30727.852
114,28014.814
115,28437.186
116,29645.777
117,31359.223
118,32411.260
119,32068.926
120,28864.037
121,27926.666
122,27419.555
123,23835.186
124,20822.223
125,20521.740
126,19659.740
127,20615.926
128,22621.297
129,21410.074
130,21093.482
131,21179.260
132,22095.148
133,25145.260
134,26872.666
135,25150.555
136,22847.371
137,19806.482
138,14475.704
139,10977.593
140,9035.333
141,6637.741
142,8053.407
143,8666.333
144,10168.370
145,10916.593
146,15265.148
147,17890.592
148,21677.703
149,23812.371
150,25548.629
151,29395.260
152,32508.000
153,32316.223
154,31241.482
155,25162.408
156,17952.297
157,11046.111
158,6945.185
159,6550.926
160,7029.667
161,6083.296
162,5256.259
163,6752.407
164,7287.074
165,7151.778
166,7075.926
167,7243.667
168,9617.186
169,12328.037
170,13532.444
171,15641.407
172,14576.407
173,13618.037
174,12298.593
175,12278.000
176,14588.074
177,18078.666
178,21507.445
179,22591.926
180,21499.111
181,20221.926
182,19852.074
183,19495.814
184,21250.629
185,19748.111
186,17965.111
187,17013.889
188,14992.333
189,15690.556
190,16263.481
191,16568.482
192,19627.223
193,19739.852
194,21842.334
195,21557.408
196,23732.703
197,25854.852
198,28266.592
199,29520.334
200,31608.186
201,32194.482
202,29950.740
203,29425.592
204,28160.186
205,28613.518
206,27122.814
207,27888.703
208,27437.852
209,24931.926
210,23195.926
211,22456.037
212,22912.186
213,21899.629
214,19940.629
215,18148.555
216,15902.000
217,12561.814
218,10472.223
219,10943.667
220,10654.593
221,12485.111
222,12282.370
223,11952.741
224,9448.741
225,8701.074
226,8249.556
227,8197.667
228,8659.704
229,11446.556
230,13309.889
231,17176.074
232,17845.963
233,17516.740
234,17639.926
235,14907.296
236,13351.704
237,14167.148
238,16304.444
239,20404.963
240,22390.555
241,23352.963
242,20351.445
243,18359.297
244,13202.444
245,9631.481
246,8275.333
247,8122.111
248,8635.370
249,9040.186
250,8772.777
251,6728.926
252,7802.444
253,7609.519
254,8294.186
255,13054.296
256,14110.333
257,17540.260
258,18378.148
259,17812.371
260,14424.259
261,10405.370
262,10680.223
263,11148.370
264,12882.814
265,14510.111
266,13993.407
267,14093.296
268,11564.407
269,13213.556
270,14349.037
271,16932.371
272,17153.408
273,18947.148
274,18852.518
275,16873.814
276,17204.000
277,15193.148
278,12867.223
279,11748.852
280,13082.074
281,12538.926
282,13904.630
283,14523.814
284,17787.148
285,21849.777
286,25145.408
287,26604.297
288,26503.703
289,25468.926
290,24355.889
291,22004.963
292,24145.740
293,24370.334
294,28023.592
295,30418.000
296,32454.186
297,31637.852
298,32073.371
299,32453.740
300,32574.592
301,32459.186
302,32917.074
303,29586.371
304,27102.148
305,25067.223
306,22890.148
307,23879.592
308,26182.518
309,27050.963
310,24417.555
311,22134.111
312,20391.889
313,21183.963
314,21492.703
315,22314.555
316,21902.148
317,22225.555
318,19554.482
319,17690.852
320,16894.518
321,18931.037
322,18591.629
323,17908.926
324,16367.444
325,14346.593
326,10996.074
327,9857.556
328,10571.444
329,14989.111
330,15515.481
331,18322.555
332,18839.777
333,20518.037
334,20707.629
335,19991.889
336,19254.000
337,15169.704
338,12789.593
339,9333.000
340,10322.370
341,8385.741
342,7720.371
343,8788.223
344,8640.777
345,7523.741
346,7933.556
347,8650.148
348,6024.259
349,7021.741
350,9235.407
351,9694.667
352,12500.926
353,15936.370
354,18023.555
355,16763.148
356,17824.889
357,19961.852
358,19770.223
359,19997.482
360,19509.814
361,19110.148
362,18611.963
363,16429.297
364,20133.740
365,23139.371
366,26200.518
367,27139.000
368,29038.037
369,26863.074
370,23469.186
371,23921.963
372,25165.740
373,27350.260
374,31527.592
375,35632.406
376,36637.445
377,34357.629
378,29314.482
379,21565.482
380,15425.186
381,12155.704
382,12409.444
383,14236.148
384,15012.889
385,15328.111
386,18879.408
387,25164.777
388,30109.371
389,33327.371
390,36547.445
391,35601.926
392,29644.260
393,22359.111
394,17969.777
395,13748.407
396,13302.814
397,14536.777
398,17083.148
399,17517.852
400,17686.482
401,20564.963
402,21969.445
403,22202.666
404,22289.297
405,19190.852
406,17440.000
407,13769.259
408,12654.370
409,15094.593
410,18204.445
411,17874.926
412,18941.703
413,15522.889
414,14480.259
415,11427.593
416,11895.667
417,11022.074
418,12146.407
419,13431.407
420,15707.667
421,17089.703
422,19830.666
423,22761.111
424,27080.518
425,31119.703
426,32096.555
427,32469.297
428,29493.740
429,27926.334
430,26282.482
431,25898.445
432,28496.592
433,28750.518
434,31848.852
435,33116.223
436,33877.109
437,34190.148
438,37023.480
439,36497.594
440,36971.000
441,35070.891
442,34430.223
443,31454.334
444,28019.889
445,24743.297
446,25672.555
447,25089.889
448,25330.186
449,22353.223
450,22892.555
451,22556.814
452,24595.148
453,24233.518
454,25475.111
455,25447.260
456,26424.629
457,29650.889
458,30255.334
459,28295.592
460,26330.000
461,23498.889
462,26766.703
463,30068.111
464,31082.111
465,32338.334
466,31808.555
467,30363.000
468,30256.371
469,27580.814
470,25721.074
