"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","chi2","uncertainty [nm]"
1.0,1.0,226.7460774372408,50040.30155291298,109.20694020409017,15999.198022072167,753.7104147171664,100.07141186038595,132.23812612111794,5.8637029324259125
2.0,1.0,224.55114066210308,56551.9338907597,119.15636826253231,76591.79396330252,1406.6638699556702,256.31676214728054,328.368977628864,3.718708232511504
3.0,1.0,253.46313344249538,62763.215391331214,133.1424909433626,108603.6320544466,1072.3303834907565,228.28145492851345,236.06771716185196,2.9247318907239763
4.0,1.0,269.84701463269096,66975.32641608322,121.8117689220176,192006.29273837287,1463.4106095143266,380.4538171947845,401.07507924250945,2.3024438247306658
5.0,1.0,215.3035924616311,68576.78426221984,156.5462561602673,55660.755913976165,787.5039076651459,207.59387000504046,383.0874117226848,7.13548912491006
6.0,1.0,216.36167007955132,74634.19741579823,112.30584518119215,36165.85785282586,1384.3699096184723,264.47953410493125,444.82025603049493,7.193942522981808
7.0,1.0,286.7417018387587,123758.10168648494,150.14868552872906,70210.22570971801,625.9792693354831,371.99807304999604,918.8137926864343,9.301723448095066
8.0,1.0,259.2317202561191,128855.88984536672,165.15304437572692,76442.13390594575,279.19276021155355,180.6524874505139,304.4089040878638,5.046011706899366
9.0,1.0,191.9358978174239,130042.1379525013,112.61363197062522,105907.434400472,438.36200493210583,221.24037141459854,285.84520487749,2.088770524833719
10.0,1.0,235.41778875557836,18857.196931843693,147.1698000701066,43996.52135443071,1262.2986044094043,189.24489621479182,254.92543098335275,7.275536590287057
11.0,1.0,315.64893992451846,22316.103104603237,147.35394232669157,39645.70686464387,700.3089264073799,120.17147922773357,156.0422750510986,5.169610464211098
12.0,1.0,298.75009517833456,108073.1873376117,106.07794781111267,66492.30812685491,541.4256622419063,159.0352191647472,180.7819847765929,2.133147242116945
13.0,1.0,282.3464861497849,117352.48251888048,99.08078933288745,14631.843021838551,434.5338382802583,93.9390587198914,180.01855033252752,4.969154157218519
14.0,1.0,298.40260181025144,126781.53893171842,119.97635439149502,42688.57168418387,370.85366077308424,124.13026346300549,191.2311339006339,3.305897488889809
15.0,1.0,365.1479599964904,9373.006907108036,134.5029382182677,25800.18655842773,997.7128456249109,122.32191270971583,148.275123607366,6.7199962905076775
16.0,1.0,380.191315386527,16387.557117685563,201.8836486248653,170653.49813919005,848.124247150671,219.77349394628754,249.6003554895666,4.10906108342592
17.0,1.0,361.53925373321283,76836.19353611818,103.73372087929607,107471.8805103379,1043.9492867336255,203.29110335462894,216.13096215819832,1.614395665515619
18.0,1.0,359.7949424682197,86430.79578078396,111.59477835460265,37269.86798748596,679.949720538217,119.77014686458978,148.543840185984,3.1652853741898
19.0,1.0,341.3005215169222,110499.27394218676,100.7015941670992,90442.11396742811,733.4848308558036,141.50328009870958,126.93675107766686,1.279338385902092
20.0,1.0,353.511759785622,114180.46684647536,120.55355261382158,110423.98823478719,487.9443625597273,420.8814782004499,1179.9131750054494,4.321051663736947
21.0,1.0,342.8285290300775,123587.32332026523,112.25668892093414,78102.09919399829,842.0055925212298,261.00519931148716,507.4903430766454,3.298416962219153
22.0,1.0,420.30679565150905,56005.91143436437,103.51079406900351,64166.071010672415,1509.0305784031075,192.97482691524027,214.84731344776588,2.538713768635177
23.0,1.0,441.2622839402757,56941.4253190144,106.25346621801786,29442.145850268003,1191.393257841216,239.8519310473192,481.4104749584572,7.1761775261574074
24.0,1.0,411.12054862146204,80742.42633759884,155.5287510109056,72033.34230980267,558.2620392435607,165.23478757402708,246.4380441372284,4.352013503090591
25.0,1.0,427.11744203685,103284.85290939733,98.31424904401567,52280.29201651153,677.2194620758955,152.42060663862495,193.05305406640917,2.2335671162041253
26.0,1.0,438.1716600834717,103886.72574272697,104.1843111040852,83403.10140496738,638.740049497854,152.58302346326647,165.6960120955837,1.5863472925093332
27.0,1.0,411.6716157436106,122709.94862235257,144.192732217719,65048.60812221794,317.0046645380274,268.1186978786145,583.3611486315606,6.685296578426189
28.0,1.0,403.0703922648342,124403.54675584879,107.80563390556419,74502.72970702684,703.3420359926812,156.59056149760465,171.43074089246517,1.9404589571153963
29.0,1.0,494.61996078717095,20156.05063558999,134.29712371650953,34324.77054586987,1018.5073169958237,151.47173948830053,204.54608030713914,6.22924514021344
30.0,1.0,490.24764827647397,27025.147295399016,121.15838750857807,63914.423236191746,1202.5127318591067,176.88040079715202,172.4180508954807,3.194544833662887
31.0,1.0,529.4112220924095,54947.69100596571,151.47396120382624,198068.91599693836,1588.124833484865,339.18160558482754,333.7765683199529,3.073073610265061
32.0,1.0,530.2451086704507,58398.02062352022,139.29258290258844,41765.12391049963,711.5915509143297,136.72670169079382,165.70238659219174,4.984576565767562
33.0,1.0,395.2844974935485,75039.39341736761,178.14870280988188,56906.4071580242,614.7406775899275,193.88472811805428,355.4448922982919,8.43789947800939
34.0,1.0,454.46309418381327,80450.1159848283,119.36609140174006,129120.1093707038,790.2675825409626,283.25714257404724,434.11764129350854,2.4526094910023835
35.0,1.0,545.3232467504254,109150.35289283431,117.31289130378629,41995.99314393983,555.0562110879084,172.5278494931245,337.4065301473123,4.432495872209041
36.0,1.0,480.88789792711873,120734.57587584338,113.03171088102158,25601.182417638393,474.51266967314336,130.25625970525334,257.97210163985034,5.102894275085082
37.0,1.0,554.9451362312991,51537.66153577836,131.06207666008157,24862.19684482719,728.5365057471802,111.30739697379376,143.03704145442748,6.035887250253564
38.0,1.0,547.9495727646391,52968.85642127692,105.31181308285022,36253.481570950586,899.6725606566064,122.82295602541546,128.73757257096744,2.973935186254585
39.0,1.0,572.9890822703226,54043.214502991315,119.1265305215941,50248.83123120455,1053.4662200460573,184.94377079435856,245.20956914643162,4.095149963910836
40.0,1.0,579.493120263004,69170.51206281735,108.43987679449462,105955.125735242,1774.9313910613484,215.623076680658,166.56907335208135,1.890458179057348
41.0,1.0,524.5416229199975,77849.95736173782,107.9333604583254,111052.1410826346,1028.3869315426402,162.50929847176985,153.3892013083532,1.3651760767436583
42.0,1.0,560.062145888235,89897.61130947804,102.58617417700596,63978.7931359245,907.6093633921962,236.86982503232883,352.1176175559987,3.0563124959839723
43.0,1.0,540.346600532903,105412.56046315662,103.91071173230608,25496.092103500698,370.6840702090566,103.80017891193337,231.00558138844872,3.48006452686909
44.0,1.0,599.2312719114966,74407.13935601442,111.80024738142407,70720.6120362355,1252.06850860712,273.85411730062043,489.1707206674126,3.786066860736581
45.0,1.0,627.3342177569982,81882.02214549526,103.48022600069199,62145.86884517741,792.8492647226717,161.2113337435705,189.11003570643354,2.199837949393784
46.0,1.0,644.4047081738563,98426.50920671508,124.48215613647798,32742.68675643124,364.6643943665799,120.21458877320562,216.56664615108448,4.476360255058443
47.0,1.0,635.5636059438548,125900.92625888494,108.02579007829578,74203.21061771477,624.3627856938097,127.74956422208793,146.85712659345134,1.6125539212973188
48.0,1.0,656.2739777830382,31766.784363153965,174.07709734256645,64263.45073722451,426.46395460052537,109.74115659266218,128.11055968492127,4.080923242883943
49.0,1.0,664.9471355071396,35273.88758220466,182.46496395062405,96952.09200857773,556.7534705477585,189.03043817904268,273.84707296309205,5.079647642240234
50.0,1.0,656.0924343091432,53783.80917207487,173.1453303156886,68633.77807763356,648.3438384409557,239.36897677167715,472.5615612450934,8.15379348410058
51.0,1.0,610.2006896027572,56377.7826754646,122.47192174120609,32656.281443839514,1245.1238130856443,167.25735786388907,214.63812193262714,6.010286281223728
52.0,1.0,655.3925080726556,87154.91368125925,112.71054773338876,203272.04522282165,1166.4508252816604,167.415752739675,103.06247382654112,0.8517793348233138
53.0,1.0,703.8984020679748,91204.83161258027,100.62568034343057,63463.993519248914,744.787187566073,172.49976713945915,233.36431940095,2.1773666863441754
54.0,1.0,688.3017889046793,110869.0763367413,107.75013122495494,25775.571201428345,708.1487090714319,199.3260123417162,451.74887962589867,7.011488543195805
55.0,1.0,641.8962432815891,128752.97727002917,103.62914203772667,42563.037184217894,536.7429886925244,153.78042058671042,259.6504012602892,3.058607643764179
56.0,1.0,651.733242445927,129505.87550405959,123.42353315681066,23582.862788643575,422.5215179817388,85.87638506538876,132.93990784977245,4.387494985698467
57.0,1.0,707.7200098193355,16365.884373364437,133.09945685725003,60824.271523655,1724.7674073181204,196.95386749681074,190.48008284968998,4.491797103954112
58.0,1.0,691.800952417448,41058.663273290775,138.13774736292928,32112.208626975153,506.1588424556225,85.47843217276785,102.05392342204846,4.023842998284817
59.0,1.0,743.1607494491683,45634.45702499456,123.51731095343267,266883.22975742386,3402.3739144350698,636.8597298707853,832.0870170942044,2.839998625426603
